resvid;uid
541;314
542;386
543;445
544;310
545;365
546;449
547;186
548;305
549;24
550;181
551;184
552;27
553;277
554;88
555;178
556;38
557;288
558;344
559;140
560;240
561;350
562;138
563;264
564;58
565;346
566;396
567;67
568;157
569;105
570;366
571;287
572;180
573;338
574;260
575;292
576;432
577;268
578;176
579;312
580;154
581;105
582;62
583;153
584;448
585;430
586;303
587;160
588;350
589;292
590;315
591;382
592;242
593;47
594;84
595;26
596;437
597;350
598;241
599;130
600;118
601;231
602;403
603;171
604;91
605;60
606;74
607;411
608;378
609;249
610;326
611;294
612;289
613;355
614;171
615;337
616;277
617;96
618;292
619;239
620;96
621;33
622;105
623;170
624;359
625;357
626;19
627;208
628;403
629;45
630;47
631;103
632;144
633;67
634;263
635;20
636;444
637;449
638;162
639;10
640;66
641;308
642;191
643;61
644;10
645;308
646;225
647;410
648;137
649;100
650;413
651;309
652;106
653;253
654;358
655;61
656;96
657;183
658;96
659;9
660;246
661;7
662;171
663;9
664;294
665;29
666;438
667;219
668;230
669;284
670;195
671;275
672;178
673;194
674;273
675;48
676;90
677;297
678;118
679;13
680;333
681;339
682;442
683;29
684;97
685;71
686;256
687;194
688;105
689;403
690;46
691;279
692;15
693;69
694;320
695;429
696;46
697;200
698;192
699;144
700;58
701;417
702;421
703;401
704;214
705;217
706;349
707;238
708;172
709;420
710;79
711;158
712;372
713;73
714;305
715;83
716;323
717;179
718;281
719;144
720;349
721;256
722;232
723;344
724;94
725;227
726;334
727;386
728;279
729;239
730;420
731;169
732;310
733;303
734;11
735;230
736;246
737;234
738;348
739;398
740;278
741;65
742;322
743;13
744;117
745;276
746;364
747;333
748;138
749;68
750;334
751;129
752;370
753;129
754;78
755;3
756;266
757;268
758;324
759;398
760;297
761;235
762;26
763;73
764;391
765;323
766;227
767;152
768;252
769;137
770;360
771;327
772;396
773;92
774;124
775;381
776;16
777;232
778;262
779;40
780;427
781;185
782;71
783;189
784;400
785;98
786;120
787;445
788;347
789;303
790;318
791;54
792;371
793;283
794;269
795;439
796;40
797;329
798;117
799;114
800;122
801;295
802;194
803;366
804;180
805;71
806;248
807;309
808;237
809;186
810;25
811;377
812;149
813;427
814;17
815;361
816;190
817;407
818;96
819;233
820;300
821;301
822;336
823;272
824;11
825;219
826;358
827;336
828;20
829;19
830;48
831;274
832;247
833;319
834;39
835;6
836;29
837;293
838;430
839;227
840;1
841;181
842;324
843;333
844;427
845;342
846;201
847;395
848;225
849;449
850;96
851;388
852;439
853;42
854;261
855;395
856;149
857;437
858;104
859;159
860;136
861;55
862;410
863;235
864;0
865;436
866;338
867;295
868;19
869;440
870;246
871;309
872;443
873;443
874;437
875;442
876;207
877;104
878;88
879;52
880;89
881;430
882;203
883;241
884;393
885;20
886;376
887;310
888;85
889;121
890;445
891;302
892;133
893;434
894;116
895;112
896;323
897;45
898;113
899;375
900;32
901;164
902;365
903;403
904;46
905;228
906;448
907;312
908;151
909;426
910;158
911;445
912;285
913;89
914;77
915;190
916;315
917;231
918;261
919;40
920;127
921;423
922;297
923;386
924;190
925;410
926;418
927;81
928;428
929;78
930;46
931;372
932;40
933;18
934;442
935;348
936;370
937;384
938;264
939;108
940;354
941;23
942;79
943;180
944;405
945;14
946;59
947;339
948;323
949;262
950;258
951;94
952;115
953;255
954;18
955;418
956;104
957;136
958;176
959;251
960;388
961;406
962;301
963;97
964;103
965;320
966;10
967;181
968;199
969;265
970;210
971;61
972;16
973;118
974;221
975;143
976;36
977;51
978;386
979;268
980;431
981;66
982;147
983;255
984;381
985;229
986;109
987;29
988;210
989;118
990;375
991;386
992;373
993;138
994;137
995;144
996;140
997;379
998;198
999;377
1000;233
1001;180
1002;217
1003;447
1004;355
1005;418
1006;15
1007;198
1008;27
1009;176
1010;108
1011;163
1012;356
1013;62
1014;135
1015;414
1016;420
1017;259
1018;219
1019;415
1020;44
1021;46
1022;11
1023;147
1024;246
1025;182
1026;310
1027;201
1028;72
1029;114
1030;385
1031;95
1032;197
1033;95
1034;105
1035;192
1036;175
1037;413
1038;57
1039;116
1040;77
1041;119
1042;88
1043;261
1044;103
1045;35
1046;190
1047;123
1048;383
1049;161
1050;175
1051;225
1052;295
1053;162
1054;340
1055;207
1056;45
1057;140
1058;363
1059;38
1060;434
1061;263
1062;116
1063;108
1064;128
1065;188
1066;210
1067;317
1068;118
1069;102
1070;240
1071;209
1072;437
1073;317
1074;206
1075;158
1076;113
1077;110
1078;309
1079;215
1080;11
1081;148
1082;19
1083;93
1084;329
1085;51
1086;409
1087;190
1088;384
1089;195
1090;301
1091;209
1092;443
1093;146
1094;403
1095;311
1096;300
1097;232
1098;296
1099;301
1100;115
1101;393
1102;411
1103;124
1104;218
1105;170
1106;249
1107;71
1108;63
1109;399
1110;330
1111;344
1112;288
1113;211
1114;1
1115;319
1116;23
1117;387
1118;135
1119;274
1120;164
1121;400
1122;210
1123;198
1124;197
1125;169
1126;305
1127;29
1128;369
1129;184
1130;77
1131;332
1132;424
1133;429
1134;314
1135;50
1136;322
1137;11
1138;194
1139;272
1140;104
1141;68
1142;239
1143;177
1144;198
1145;377
1146;101
1147;40
1148;185
1149;76
1150;72
1151;178
1152;256
1153;212
1154;59
1155;336
1156;267
1157;20
1158;363
1159;91
1160;147
1161;374
1162;294
1163;296
1164;253
1165;18
1166;14
1167;283
1168;253
1169;219
1170;161
1171;449
1172;264
1173;277
1174;76
1175;281
1176;300
1177;174
1178;318
1179;105
1180;93
1181;333
1182;102
1183;164
1184;395
1185;128
1186;191
1187;335
1188;272
1189;332
1190;291
1191;187
1192;116
1193;421
1194;99
1195;46
1196;1
1197;371
1198;332
1199;347
1200;13
1201;413
1202;226
1203;129
1204;269
1205;434
1206;106
1207;234
1208;47
1209;199
1210;191
1211;161
1212;50
1213;441
1214;386
1215;388
1216;293
1217;308
1218;226
1219;444
1220;58
1221;390
1222;135
1223;233
1224;436
1225;154
1226;312
1227;86
1228;123
1229;314
1230;331
1231;10
1232;241
1233;189
1234;325
1235;237
1236;1
1237;25
1238;328
1239;275
1240;307
1241;356
1242;127
1243;210
1244;46
1245;112
1246;79
1247;132
1248;185
1249;421
1250;313
1251;346
1252;449
1253;143
1254;1
1255;132
1256;198
1257;187
1258;122
1259;227
1260;151
1261;251
1262;293
1263;55
1264;109
1265;140
1266;24
1267;346
1268;240
1269;131
1270;399
1271;44
1272;112
1273;204
1274;236
1275;99
1276;405
1277;36
1278;410
1279;221
1280;374
1281;415
1282;344
1283;431
1284;138
1285;287
1286;73
1287;354
1288;143
1289;1
1290;248
1291;364
1292;392
1293;105
1294;160
1295;255
1296;153
1297;119
1298;76
1299;319
1300;125
1301;169
1302;144
1303;432
1304;267
1305;199
1306;414
1307;423
1308;230
1309;71
1310;220
1311;337
1312;35
1313;348
1314;126
1315;190
1316;271
1317;138
1318;325
1319;423
1320;387
1321;18
1322;2
1323;349
1324;290
1325;236
1326;424
1327;358
1328;392
1329;20
1330;40
1331;379
1332;69
1333;197
1334;271
1335;150
1336;88
1337;212
1338;377
1339;139
1340;385
1341;179
1342;327
1343;404
1344;74
1345;215
1346;124
1347;195
1348;408
1349;157
1350;310
1351;240
1352;412
1353;392
1354;247
1355;411
1356;337
1357;9
1358;188
1359;258
1360;285
1361;172
1362;56
1363;440
1364;138
1365;236
1366;360
1367;201
1368;117
1369;431
1370;333
1371;420
1372;169
1373;338
1374;87
1375;42
1376;100
1377;255
1378;344
1379;246
1380;100
1381;324
1382;59
1383;199
1384;157
1385;391
1386;247
1387;236
1388;209
1389;371
1390;21
1391;38
1392;443
1393;263
1394;270
1395;279
1396;172
1397;318
1398;254
1399;203
1400;173
1401;153
1402;133
1403;396
1404;128
1405;288
1406;300
1407;66
1408;102
1409;184
1410;61
1411;87
1412;206
1413;0
1414;369
1415;45
1416;261
1417;47
1418;225
1419;50
1420;134
1421;392
1422;119
1423;306
1424;362
1425;70
1426;438
1427;45
1428;359
1429;271
1430;320
1431;47
1432;181
1433;234
1434;96
1435;325
1436;423
1437;203
1438;224
1439;265
1440;37
1441;223
1442;41
1443;416
1444;21
1445;422
1446;21
1447;255
1448;424
1449;338
1450;292
1451;436
1452;301
1453;172
1454;352
1455;378
1456;84
1457;14
1458;368
1459;169
1460;415
1461;77
1462;281
1463;67
1464;308
1465;31
1466;188
1467;294
1468;210
1469;436
1470;217
1471;321
1472;371
1473;252
1474;63
1475;363
1476;172
1477;203
1478;312
1479;136
1480;39
1481;381
1482;85
1483;224
1484;167
1485;294
1486;428
1487;374
1488;240
1489;217
1490;201
1491;190
1492;143
1493;55
1494;235
1495;57
1496;388
1497;421
1498;298
1499;334
1500;405
1501;123
1502;368
1503;34
1504;414
1505;27
1506;415
1507;169
1508;414
1509;357
1510;317
1511;94
1512;174
1513;187
1514;319
1515;106
1516;44
1517;151
1518;223
1519;208
1520;75
1521;331
1522;167
1523;423
1524;24
1525;184
1526;145
1527;173
1528;109
1529;134
1530;270
1531;227
1532;356
1533;144
1534;57
1535;350
1536;321
1537;436
1538;2
1539;87
1540;231
1541;20
1542;85
1543;138
1544;445
1545;14
1546;143
1547;241
1548;273
1549;165
1550;258
1551;303
1552;213
1553;396
1554;110
1555;155
1556;147
1557;194
1558;153
1559;448
1560;199
1561;378
1562;383
1563;11
1564;198
1565;119
1566;277
1567;245
1568;359
1569;359
1570;265
1571;125
1572;119
1573;116
1574;169
1575;352
1576;131
1577;354
1578;136
1579;272
1580;10
1581;436
1582;300
1583;54
1584;435
1585;49
1586;110
1587;286
1588;401
1589;206
1590;19
1591;396
1592;360
1593;182
1594;119
1595;265
1596;337
1597;447
1598;301
1599;379
1600;438
1601;207
1602;217
1603;247
1604;87
1605;205
1606;227
1607;428
1608;193
1609;297
1610;195
1611;310
1612;56
1613;114
1614;78
1615;395
1616;39
1617;274
1618;373
1619;362
1620;149
1621;212
1622;374
1623;292
1624;263
1625;267
1626;104
1627;433
1628;430
1629;319
1630;328
1631;368
1632;282
1633;46
1634;134
1635;169
1636;95
1637;94
1638;67
1639;338
1640;432
1641;397
1642;334
1643;190
1644;87
1645;3
1646;329
1647;145
1648;47
1649;124
1650;421
1651;410
1652;115
1653;286
1654;435
1655;212
1656;218
1657;442
1658;224
1659;85
1660;423
1661;239
1662;326
1663;420
1664;170
1665;128
1666;207
1667;274
1668;374
1669;226
1670;406
1671;284
1672;86
1673;369
1674;375
1675;335
1676;96
1677;424
1678;136
1679;270
1680;412
1681;232
1682;212
1683;32
1684;291
1685;202
1686;239
1687;239
1688;332
1689;439
1690;143
1691;119
1692;395
1693;118
1694;386
1695;411
1696;267
1697;308
1698;297
1699;42
1700;262
1701;127
1702;447
1703;138
1704;377
1705;174
1706;263
1707;280
1708;81
1709;15
1710;340
1711;445
1712;144
1713;63
1714;283
1715;366
1716;187
1717;244
1718;414
1719;376
1720;62
1721;300
1722;52
1723;178
1724;270
1725;128
1726;105
1727;342
1728;434
1729;226
1730;323
1731;366
1732;346
1733;100
1734;428
1735;298
1736;130
1737;299
1738;27
1739;60
1740;266
1741;73
1742;269
1743;202
1744;133
1745;421
1746;194
1747;24
1748;226
1749;117
1750;231
1751;340
1752;285
1753;187
1754;336
1755;273
1756;78
1757;362
1758;272
1759;391
1760;363
1761;415
1762;307
1763;5
1764;177
1765;45
1766;422
1767;119
1768;422
1769;254
1770;68
1771;172
1772;125
1773;173
1774;259
1775;385
1776;209
1777;161
1778;10
1779;356
1780;323
1781;52
1782;115
1783;380
1784;13
1785;40
1786;446
1787;324
1788;171
1789;417
1790;429
1791;254
1792;439
1793;419
1794;65
1795;135
1796;153
1797;174
1798;1
1799;325
1800;386
1801;321
1802;383
1803;122
1804;182
1805;399
1806;190
1807;117
1808;188
1809;131
1810;391
1811;315
1812;121
1813;240
1814;94
1815;349
1816;288
1817;395
1818;321
1819;407
1820;399
1821;202
1822;255
1823;147
1824;88
1825;172
1826;19
1827;11
1828;447
1829;240
1830;0
1831;311
1832;98
1833;104
1834;348
1835;17
1836;222
1837;204
1838;339
1839;425
1840;393
1841;368
1842;174
1843;193
1844;165
1845;316
1846;102
1847;439
1848;243
1849;117
1850;1
1851;444
1852;127
1853;420
1854;152
1855;173
1856;159
1857;66
1858;436
1859;53
1860;92
1861;114
1862;308
1863;74
1864;164
1865;144
1866;129
1867;98
1868;372
1869;92
1870;243
1871;433
1872;95
1873;252
1874;306
1875;61
1876;386
1877;354
1878;342
1879;173
1880;145
1881;409
1882;383
1883;412
1884;204
1885;91
1886;317
1887;96
1888;395
1889;251
1890;316
1891;331
1892;43
1893;372
1894;88
1895;403
1896;117
1897;62
1898;8
1899;55
1900;431
1901;311
1902;373
1903;308
1904;401
1905;60
1906;106
1907;10
1908;409
1909;343
1910;376
1911;289
1912;3
1913;153
1914;338
1915;401
1916;252
1917;156
1918;385
1919;12
1920;351
1921;299
1922;260
1923;314
1924;31
1925;93
1926;80
1927;226
1928;313
1929;26
1930;151
1931;23
1932;394
1933;255
1934;348
1935;141
1936;331
1937;153
1938;248
1939;28
1940;159
1941;256
1942;63
1943;390
1944;105
1945;182
1946;92
1947;269
1948;330
1949;119
1950;105
1951;387
1952;174
1953;126
1954;396
1955;257
1956;365
1957;173
1958;177
1959;37
1960;280
1961;82
1962;6
1963;39
1964;228
1965;438
1966;325
1967;168
1968;155
1969;388
1970;367
1971;399
1972;81
1973;130
1974;131
1975;234
1976;241
1977;176
1978;117
1979;388
1980;168
1981;341
1982;322
1983;283
1984;130
1985;205
1986;343
1987;150
1988;353
1989;368
1990;430
1991;143
1992;322
1993;38
1994;120
1995;96
1996;145
1997;26
1998;204
1999;143
2000;47
2001;22
2002;277
2003;88
2004;379
2005;304
2006;151
2007;337
2008;242
2009;85
2010;436
2011;270
2012;175
2013;82
2014;71
2015;31
2016;212
2017;315
2018;250
2019;196
2020;423
2021;49
2022;169
2023;435
2024;2
2025;422
2026;360
2027;149
2028;121
2029;397
2030;417
2031;147
2032;291
2033;205
2034;6
2035;147
2036;113
2037;361
2038;290
2039;141
2040;404
2041;42
2042;52
2043;215
2044;36
2045;413
2046;160
2047;405
2048;131
2049;260
2050;326
2051;390
2052;78
2053;257
2054;410
2055;160
2056;301
2057;267
2058;317
2059;174
2060;289
2061;376
2062;419
2063;3
2064;348
2065;156
2066;50
2067;369
2068;418
2069;26
2070;154
2071;406
2072;99
2073;309
2074;195
2075;116
2076;62
2077;69
2078;241
2079;339
2080;345
2081;339
2082;110
2083;10
2084;423
2085;104
2086;148
2087;422
2088;167
2089;327
2090;197
2091;378
2092;280
2093;340
2094;273
2095;435
2096;7
2097;218
2098;282
2099;248
2100;420
2101;152
2102;130
2103;365
2104;362
2105;255
2106;362
2107;101
2108;113
2109;256
2110;293
2111;159
2112;201
2113;360
2114;272
2115;390
2116;40
2117;437
2118;181
2119;148
2120;201
2121;83
2122;255
2123;448
2124;166
2125;437
2126;418
2127;158
2128;189
2129;135
2130;380
2131;211
2132;11
2133;244
2134;300
2135;282
2136;15
2137;406
2138;211
2139;113
2140;379
2141;150
2142;227
2143;310
2144;2
2145;355
2146;129
2147;295
2148;202
2149;273
2150;6
2151;35
2152;255
2153;179
2154;83
2155;278
2156;32
2157;299
2158;395
2159;119
2160;178
2161;15
2162;313
2163;30
2164;83
2165;46
2166;306
2167;432
2168;168
2169;412
2170;401
2171;436
2172;259
2173;9
2174;162
2175;10
2176;72
2177;346
2178;176
2179;181
2180;239
2181;224
2182;215
2183;31
2184;336
2185;238
2186;237
2187;133
2188;343
2189;90
2190;227
2191;387
2192;340
2193;445
2194;442
2195;315
2196;294
2197;400
2198;269
2199;377
2200;11
2201;153
2202;208
2203;55
2204;137
2205;194
2206;245
2207;184
2208;18
2209;105
2210;355
2211;86
2212;232
2213;330
2214;370
2215;215
2216;82
2217;138
2218;242
2219;202
2220;349
2221;415
2222;79
2223;239
2224;426
2225;434
2226;435
2227;331
2228;284
2229;348
2230;167
2231;293
2232;439
2233;313
2234;35
2235;350
2236;169
2237;116
2238;100
2239;319
2240;233
2241;64
2242;135
2243;130
2244;427
2245;224
2246;436
2247;147
2248;345
2249;361
2250;372
2251;64
2252;103
2253;126
2254;335
2255;292
2256;258
2257;301
2258;329
2259;446
2260;314
2261;373
2262;55
2263;252
2264;51
2265;245
2266;132
2267;80
2268;231
2269;22
2270;376
2271;178
2272;229
2273;75
2274;36
2275;399
2276;13
2277;276
2278;298
2279;429
2280;59
2281;55
2282;25
2283;267
2284;312
2285;302
2286;185
2287;364
2288;260
2289;444
2290;177
2291;365
2292;102
2293;328
2294;70
2295;122
2296;85
2297;343
2298;263
2299;389
2300;280
2301;29
2302;302
2303;238
2304;222
2305;321
2306;318
2307;397
2308;145
2309;149
2310;311
2311;384
2312;70
2313;82
2314;234
2315;156
2316;418
2317;224
2318;186
2319;172
2320;395
2321;82
2322;287
2323;436
2324;401
2325;400
2326;123
2327;369
2328;392
2329;228
2330;438
2331;63
2332;339
2333;305
2334;191
2335;162
2336;8
2337;270
2338;410
2339;415
2340;29
2341;281
2342;3
2343;406
2344;64
2345;248
2346;68
2347;285
2348;181
2349;238
2350;20
2351;269
2352;306
2353;136
2354;60
2355;13
2356;77
2357;50
2358;231
2359;165
2360;316
2361;408
2362;121
2363;18
2364;157
2365;96
2366;334
2367;99
2368;199
2369;448
2370;300
2371;28
2372;283
2373;286
2374;128
2375;116
2376;425
2377;345
2378;245
2379;105
2380;85
2381;175
2382;394
2383;71
2384;327
2385;197
2386;374
2387;194
2388;257
2389;160
2390;336
2391;201
2392;351
2393;362
2394;139
2395;136
2396;343
2397;157
2398;339
2399;183
2400;251
2401;178
2402;57
2403;398
2404;166
2405;198
2406;253
2407;342
2408;117
2409;238
2410;2
2411;120
2412;129
2413;136
2414;270
2415;99
2416;253
2417;204
2418;446
2419;351
2420;33
2421;127
2422;172
2423;270
2424;60
2425;361
2426;322
2427;43
2428;301
2429;438
2430;224
2431;369
2432;131
2433;366
2434;156
2435;387
2436;343
2437;122
2438;421
2439;197
2440;180
2441;29
2442;175
2443;70
2444;427
2445;280
2446;163
2447;408
2448;292
2449;340
2450;277
2451;286
2452;266
2453;436
2454;51
2455;280
2456;287
2457;11
2458;180
2459;143
2460;220
2461;310
2462;439
2463;56
2464;3
2465;411
2466;334
2467;18
2468;413
2469;151
2470;381
2471;143
2472;449
2473;372
2474;169
2475;310
2476;113
2477;153
2478;47
2479;341
2480;175
2481;409
2482;186
2483;125
2484;147
2485;62
2486;421
2487;38
2488;359
2489;210
2490;176
2491;216
2492;232
2493;188
2494;228
2495;80
2496;275
2497;177
2498;445
2499;23
2500;15
2501;45
2502;163
2503;184
2504;40
2505;366
2506;424
2507;41
2508;81
2509;324
2510;18
2511;334
2512;239
2513;205
2514;438
2515;442
2516;414
2517;182
2518;418
2519;255
2520;157
2521;357
2522;345
2523;41
2524;301
2525;118
2526;75
2527;226
2528;239
2529;406
2530;371
2531;441
2532;417
2533;70
2534;291
2535;36
2536;303
2537;430
2538;181
2539;244
2540;342
2541;162
2542;210
2543;33
2544;425
2545;316
2546;413
2547;391
2548;196
2549;65
2550;60
2551;415
2552;443
2553;379
2554;428
2555;128
2556;99
2557;269
2558;279
2559;407
2560;223
2561;76
2562;132
2563;445
2564;129
2565;164
2566;361
2567;386
2568;221
2569;44
2570;316
2571;373
2572;61
2573;442
2574;107
2575;157
2576;427
2577;54
2578;43
2579;47
2580;240
2581;444
2582;38
2583;368
2584;390
2585;7
2586;191
2587;350
2588;391
2589;242
2590;70
2591;258
2592;196
2593;266
2594;207
2595;362
2596;172
2597;50
2598;155
2599;441
2600;342
2601;355
2602;159
2603;262
2604;123
2605;227
2606;256
2607;31
2608;311
2609;184
2610;110
2611;141
2612;230
2613;162
2614;276
2615;272
2616;411
2617;400
2618;33
2619;108
2620;47
2621;23
2622;109
2623;227
2624;136
2625;265
2626;118
2627;193
2628;142
2629;187
2630;257
2631;63
2632;189
2633;144
2634;14
2635;33
2636;417
2637;138
2638;54
2639;68
2640;358
2641;311
2642;8
2643;253
2644;4
2645;152
2646;420
2647;192
2648;146
2649;10
2650;217
2651;369
2652;176
2653;393
2654;142
2655;299
2656;21
2657;144
2658;299
2659;75
2660;251
2661;362
2662;171
2663;41
2664;338
2665;449
2666;265
2667;223
2668;55
2669;113
2670;44
2671;80
2672;374
2673;402
2674;193
2675;322
2676;13
2677;238
2678;210
2679;100
2680;446
2681;254
2682;144
2683;313
2684;118
2685;43
2686;215
2687;410
2688;316
2689;245
2690;141
2691;408
2692;448
2693;237
2694;55
2695;283
2696;70
2697;356
2698;310
2699;41
2700;197
2701;306
2702;430
2703;338
2704;125
2705;116
2706;203
2707;324
2708;286
2709;115
2710;120
2711;353
2712;142
2713;271
2714;72
2715;177
2716;368
2717;324
2718;33
2719;299
2720;271
2721;263
2722;359
2723;28
2724;62
2725;183
2726;255
2727;372
2728;66
2729;117
2730;268
2731;242
2732;293
2733;325
2734;193
2735;215
2736;30
2737;79
2738;187
2739;40
2740;20
2741;31
2742;398
2743;447
2744;191
2745;23
2746;52
2747;381
2748;121
2749;316
2750;70
2751;76
2752;231
2753;82
2754;186
2755;226
2756;321
2757;140
2758;268
2759;42
2760;29
2761;310
2762;313
2763;77
2764;11
2765;409
2766;415
2767;202
2768;49
2769;261
2770;42
2771;346
2772;348
2773;123
2774;52
2775;322
2776;223
2777;233
2778;278
2779;223
2780;303
2781;62
2782;29
2783;341
2784;263
2785;252
2786;348
2787;192
2788;118
2789;178
2790;378
2791;74
2792;157
2793;172
2794;49
2795;181
2796;283
2797;115
2798;260
2799;371
2800;389
2801;400
2802;180
2803;131
2804;449
2805;426
2806;205
2807;148
2808;413
2809;93
2810;447
2811;190
2812;27
2813;156
2814;308
2815;6
2816;260
2817;19
2818;399
2819;84
2820;231
2821;173
2822;337
2823;99
2824;89
2825;87
2826;166
2827;162
2828;225
2829;363
2830;205
2831;93
2832;153
2833;65
2834;302
2835;92
2836;376
2837;289
2838;44
2839;112
2840;190
2841;387
2842;276
2843;267
2844;148
2845;124
2846;23
2847;229
2848;337
2849;370
2850;118
2851;329
2852;40
2853;163
2854;217
2855;440
2856;138
2857;276
2858;397
2859;411
2860;376
2861;213
2862;201
2863;216
2864;143
2865;342
2866;86
2867;337
2868;148
2869;45
2870;330
2871;56
2872;214
2873;222
2874;241
2875;35
2876;100
2877;220
2878;377
2879;137
2880;251
2881;418
2882;310
2883;138
2884;351
2885;146
2886;69
2887;0
2888;198
2889;393
2890;72
2891;349
2892;215
2893;133
2894;0
2895;385
2896;183
2897;16
2898;421
2899;434
2900;301
2901;14
2902;116
2903;75
2904;44
2905;402
2906;382
2907;347
2908;51
2909;176
2910;225
2911;424
2912;20
2913;63
2914;391
2915;145
2916;423
2917;440
2918;188
2919;373
2920;163
2921;377
2922;272
2923;123
2924;111
2925;55
2926;427
2927;230
2928;260
2929;4
2930;388
2931;278
2932;103
2933;348
2934;274
2935;346
2936;343
2937;6
2938;139
2939;327
2940;193
2941;359
2942;245
2943;424
2944;176
2945;234
2946;137
2947;229
2948;57
2949;439
2950;279
2951;73
2952;75
2953;40
2954;221
2955;422
2956;342
2957;413
2958;271
2959;224
2960;346
2961;250
2962;355
2963;325
2964;5
2965;68
2966;77
2967;257
2968;270
2969;426
2970;285
2971;62
2972;89
2973;310
2974;162
2975;188
2976;309
2977;123
2978;395
2979;35
2980;87
2981;161
2982;334
2983;154
2984;406
2985;382
2986;396
2987;444
2988;16
2989;368
2990;334
2991;409
2992;63
2993;245
2994;216
2995;265
2996;223
