resvid,uid,habid,fecha_inicio,fecha_fin
59,225,59,2090-03-07,2090-03-25
60,392,60,2028-08-15,2028-09-03
61,71,61,2023-12-31,2024-01-11
62,299,62,2049-09-20,2049-10-08
63,365,63,2021-05-31,2021-06-07
64,75,64,2049-05-12,2049-05-21
65,139,65,2091-08-28,2091-09-13
66,395,66,2093-08-05,2093-08-16
67,2,67,2041-11-21,2041-12-02
68,430,68,2078-05-20,2078-06-08
69,344,69,2052-08-09,2052-08-14
70,288,70,2064-06-11,2064-06-15
71,265,71,2042-02-28,2042-03-12
72,3,72,2033-06-10,2033-06-26
73,104,73,2078-01-26,2078-02-11
74,414,74,2040-03-16,2040-03-22
75,224,75,2084-09-24,2084-10-08
76,110,76,2068-10-20,2068-10-24
77,139,77,2077-03-29,2077-04-04
78,391,78,2061-11-14,2061-11-18
79,407,79,2092-11-26,2092-12-05
80,28,80,2076-07-01,2076-07-06
81,203,81,2044-05-23,2044-06-11
82,294,82,2078-08-28,2078-08-29
83,365,83,2019-04-19,2019-04-29
84,363,84,2081-05-05,2081-05-05
85,218,85,2039-03-03,2039-03-18
86,394,86,2058-08-07,2058-08-15
87,193,87,2085-06-13,2085-07-02
88,17,88,2074-10-28,2074-11-02
89,325,89,2060-05-06,2060-05-23
90,412,90,2064-09-26,2064-10-11
91,78,91,2051-03-06,2051-03-21
92,321,92,2088-07-23,2088-07-28
93,342,93,2091-06-25,2091-07-11
94,214,94,2060-12-19,2060-12-31
95,402,95,2090-09-23,2090-10-10
96,306,96,2033-07-23,2033-08-09
97,373,97,2068-06-18,2068-06-18
98,83,98,2056-06-15,2056-06-16
99,417,99,2058-01-04,2058-01-10
100,104,100,2052-09-04,2052-09-12
101,197,101,2042-05-18,2042-05-29
102,344,102,2068-03-28,2068-04-12
103,134,103,2071-10-09,2071-10-23
104,288,104,2044-02-17,2044-03-04
105,74,105,2080-10-12,2080-10-14
106,22,106,2039-11-27,2039-12-16
107,23,107,2093-07-21,2093-07-22
108,448,108,2086-05-26,2086-06-05
109,351,109,2089-04-28,2089-05-16
110,10,110,2030-02-13,2030-02-23
111,51,111,2080-10-23,2080-10-24
112,61,112,2063-04-13,2063-04-19
113,339,113,2077-12-19,2077-12-27
114,114,114,2087-01-08,2087-01-11
115,166,115,2075-03-06,2075-03-21
116,189,116,2059-03-31,2059-04-10
117,402,117,2048-12-05,2048-12-08
118,331,118,2060-03-29,2060-04-13
119,26,119,2044-03-04,2044-03-15
120,58,120,2068-12-25,2069-01-08
121,170,121,2074-03-27,2074-03-28
122,48,122,2078-08-16,2078-08-18
123,99,123,2073-06-24,2073-07-01
124,421,124,2091-02-12,2091-02-25
125,141,125,2066-10-06,2066-10-14
126,292,126,2096-11-25,2096-12-06
127,140,127,2022-05-17,2022-06-01
128,206,128,2081-01-03,2081-01-14
129,227,129,2075-10-12,2075-10-23
130,258,130,2028-12-27,2029-01-05
131,181,131,2088-06-08,2088-06-24
132,139,132,2088-02-25,2088-02-29
133,427,133,2039-02-12,2039-02-20
134,146,134,2081-06-14,2081-06-19
135,31,135,2064-03-07,2064-03-14
136,268,136,2048-05-27,2048-06-07
137,37,137,2065-07-03,2065-07-07
138,369,138,2069-11-05,2069-11-18
139,348,139,2064-11-23,2064-11-25
140,242,140,2070-11-26,2070-11-29
141,315,141,2038-08-25,2038-09-12
142,31,142,2091-01-16,2091-01-18
143,336,143,2038-10-10,2038-10-18
144,44,144,2082-06-12,2082-06-22
145,301,145,2075-04-01,2075-04-14
146,421,146,2066-01-09,2066-01-15
147,67,147,2037-01-16,2037-01-22
148,109,148,2053-03-18,2053-03-26
149,274,149,2082-05-04,2082-05-14
150,199,150,2042-11-14,2042-11-23
151,395,151,2053-10-29,2053-11-16
152,347,152,2057-02-21,2057-02-23
153,261,153,2079-02-26,2079-03-13
154,257,154,2062-04-01,2062-04-03
155,251,155,2050-11-02,2050-11-10
156,187,156,2080-12-28,2081-01-14
157,252,157,2060-11-03,2060-11-21
158,284,158,2060-08-22,2060-09-09
159,223,159,2082-01-21,2082-02-06
160,8,160,2075-05-03,2075-05-22
161,20,161,2024-11-29,2024-12-03
162,84,162,2077-10-12,2077-10-31
163,21,163,2083-12-27,2084-01-11
164,392,164,2063-02-03,2063-02-04
165,131,165,2024-10-09,2024-10-27
166,229,166,2045-04-21,2045-05-05
167,238,167,2039-04-03,2039-04-07
168,131,168,2084-06-24,2084-07-13
169,416,169,2028-06-09,2028-06-19
170,35,170,2074-04-16,2074-04-29
171,65,171,2019-07-30,2019-08-01
172,27,172,2037-07-17,2037-07-21
173,130,173,2030-09-13,2030-09-20
174,409,174,2099-08-08,2099-08-22
175,209,175,2087-05-29,2087-06-06
176,232,176,2091-05-07,2091-05-11
177,432,177,2087-08-28,2087-09-03
178,107,178,2044-11-09,2044-11-09
179,287,179,2085-01-05,2085-01-20
180,359,180,2059-10-25,2059-11-13
181,223,181,2048-12-27,2048-12-31
182,218,182,2063-04-12,2063-04-13
183,254,183,2094-02-15,2094-02-28
184,112,184,2098-12-25,2099-01-02
185,218,185,2067-06-20,2067-06-30
186,348,186,2025-02-06,2025-02-09
187,97,187,2023-06-20,2023-07-01
188,333,188,2037-06-04,2037-06-21
189,420,189,2079-05-14,2079-06-01
190,304,190,2089-07-11,2089-07-27
191,375,191,2045-03-03,2045-03-13
192,83,192,2022-08-02,2022-08-03
193,315,193,2090-02-11,2090-02-23
194,67,194,2063-02-03,2063-02-04
195,357,195,2051-10-18,2051-10-26
196,81,196,2080-05-29,2080-05-30
197,353,197,2020-12-26,2020-12-28
198,440,198,2099-04-12,2099-04-19
199,294,199,2064-04-12,2064-04-27
200,149,200,2077-07-03,2077-07-13
201,6,201,2076-06-04,2076-06-07
202,178,202,2046-06-24,2046-06-30
203,374,203,2023-07-20,2023-07-31
204,19,204,2023-10-13,2023-10-30
205,237,205,2025-11-17,2025-12-05
206,168,206,2020-03-16,2020-03-20
207,409,207,2082-02-21,2082-02-24
208,220,208,2098-04-14,2098-04-14
209,255,209,2064-05-07,2064-05-08
210,333,210,2042-12-09,2042-12-15
211,33,211,2050-11-30,2050-12-04
212,227,212,2038-01-12,2038-01-18
213,65,213,2063-08-22,2063-08-23
214,208,214,2079-07-29,2079-08-03
215,411,215,2089-07-11,2089-07-13
216,410,216,2048-08-01,2048-08-05
217,422,217,2052-08-19,2052-09-04
218,449,218,2029-10-18,2029-11-02
219,209,219,2028-10-11,2028-10-25
220,74,220,2058-08-18,2058-09-01
221,122,221,2058-01-28,2058-02-02
222,65,222,2030-06-07,2030-06-07
223,149,223,2051-08-08,2051-08-16
224,28,224,2091-08-21,2091-08-24
225,50,225,2071-09-17,2071-09-25
226,104,226,2053-06-22,2053-06-23
227,157,227,2085-11-27,2085-12-05
228,32,228,2028-06-24,2028-07-06
229,242,229,2082-08-10,2082-08-21
230,359,230,2024-02-09,2024-02-15
231,258,231,2052-12-12,2052-12-23
232,237,232,2077-09-20,2077-09-27
233,384,233,2043-01-22,2043-01-22
234,100,234,2026-05-17,2026-05-27
235,252,235,2033-03-28,2033-03-31
236,109,236,2040-05-26,2040-05-31
237,431,237,2092-01-14,2092-01-28
238,180,238,2083-12-04,2083-12-05
239,292,239,2091-11-28,2091-12-13
240,160,240,2029-02-22,2029-03-06
241,226,241,2028-07-28,2028-08-08
242,244,242,2061-10-17,2061-10-28
243,143,243,2044-05-25,2044-06-13
244,333,244,2064-07-10,2064-07-11
245,297,245,2098-11-15,2098-12-04
246,440,246,2048-07-04,2048-07-04
247,7,247,2087-09-09,2087-09-12
248,374,248,2067-09-16,2067-10-03
249,101,249,2035-09-01,2035-09-07
250,242,250,2078-07-21,2078-07-23
251,14,251,2051-12-08,2051-12-27
252,109,252,2033-07-07,2033-07-17
253,383,253,2063-03-06,2063-03-14
254,8,254,2095-08-13,2095-08-23
255,280,255,2037-10-09,2037-10-20
256,241,256,2033-04-11,2033-04-29
257,295,257,2034-05-17,2034-06-03
258,52,258,2086-01-09,2086-01-21
259,88,259,2060-07-14,2060-07-17
260,304,260,2083-02-28,2083-03-19
261,429,261,2025-07-20,2025-08-05
262,47,262,2021-06-26,2021-07-01
263,372,263,2067-04-05,2067-04-06
264,402,264,2056-09-28,2056-10-03
265,197,265,2071-03-05,2071-03-05
266,341,266,2070-12-06,2070-12-23
267,422,267,2046-04-03,2046-04-07
268,96,268,2077-07-07,2077-07-24
269,403,269,2063-04-09,2063-04-18
270,436,270,2098-11-03,2098-11-09
271,370,271,2045-12-21,2046-01-08
272,114,272,2084-02-08,2084-02-22
273,185,273,2049-05-08,2049-05-25
274,100,274,2065-12-29,2066-01-15
275,386,275,2085-06-12,2085-06-18
276,402,276,2099-01-14,2099-01-29
277,12,277,2022-11-25,2022-12-14
278,214,278,2058-03-05,2058-03-22
279,45,279,2059-12-10,2059-12-24
280,412,280,2099-03-13,2099-03-22
281,71,281,2065-02-13,2065-02-13
282,117,282,2085-03-19,2085-04-02
283,50,283,2066-10-24,2066-10-26
284,313,284,2093-10-31,2093-10-31
285,407,285,2025-10-11,2025-10-18
286,439,286,2045-06-09,2045-06-22
287,263,287,2053-05-09,2053-05-20
288,414,288,2055-07-11,2055-07-15
289,270,289,2030-05-23,2030-06-06
290,360,290,2087-10-09,2087-10-13
291,338,291,2025-09-12,2025-09-14
292,68,292,2033-11-14,2033-11-14
293,21,293,2065-01-16,2065-01-29
294,402,294,2056-09-22,2056-10-05
295,2,295,2094-11-04,2094-11-11
296,24,296,2076-12-19,2077-01-02
297,198,297,2047-03-07,2047-03-10
298,316,298,2046-07-02,2046-07-11
299,389,299,2041-01-27,2041-02-09
300,129,300,2054-07-12,2054-07-25
301,294,301,2023-12-27,2024-01-03
302,394,302,2095-02-09,2095-02-24
303,425,303,2034-04-05,2034-04-14
304,272,304,2046-09-01,2046-09-03
305,307,305,2043-05-30,2043-06-04
306,170,306,2070-01-23,2070-02-03
307,222,307,2024-06-12,2024-06-25
308,119,308,2053-01-20,2053-01-20
309,239,309,2024-09-06,2024-09-10
310,108,310,2078-04-19,2078-05-07
311,448,311,2038-01-31,2038-02-05
312,131,312,2035-02-23,2035-02-26
313,321,313,2098-02-16,2098-02-19
314,354,314,2023-12-16,2024-01-02
315,295,315,2052-08-23,2052-08-28
316,220,316,2020-03-26,2020-04-02
317,110,317,2099-08-27,2099-09-04
318,317,318,2026-04-24,2026-05-06
319,368,319,2055-01-08,2055-01-24
320,431,320,2027-05-29,2027-06-01
321,52,321,2020-01-12,2020-01-21
322,240,322,2043-12-19,2043-12-23
323,165,323,2059-11-01,2059-11-09
324,360,324,2097-10-28,2097-11-16
325,102,325,2080-08-04,2080-08-07
326,413,326,2079-07-09,2079-07-09
327,152,327,2049-09-09,2049-09-23
328,120,328,2063-04-02,2063-04-18
329,267,329,2036-07-07,2036-07-17
330,370,330,2062-12-15,2062-12-20
331,188,331,2023-01-11,2023-01-18
332,265,332,2042-08-18,2042-08-27
333,75,333,2045-03-18,2045-04-04
334,47,334,2031-12-20,2031-12-27
335,99,335,2025-10-31,2025-11-01
336,113,336,2099-10-02,2099-10-07
337,325,337,2085-07-01,2085-07-18
338,92,338,2067-03-11,2067-03-28
339,447,339,2077-09-26,2077-09-30
340,283,340,2056-08-25,2056-08-30
341,381,341,2024-07-20,2024-07-24
342,238,342,2039-08-02,2039-08-06
343,397,343,2058-11-19,2058-11-19
344,45,344,2038-05-15,2038-05-15
345,282,345,2091-10-07,2091-10-14
346,78,346,2055-07-01,2055-07-15
347,100,347,2087-06-20,2087-06-28
348,287,348,2041-06-14,2041-06-15
349,411,349,2055-03-30,2055-04-03
350,71,350,2071-11-18,2071-11-28
351,32,351,2055-01-15,2055-01-20
352,244,352,2039-01-04,2039-01-23
353,13,353,2046-12-02,2046-12-19
354,411,354,2023-04-07,2023-04-24
355,274,355,2087-07-04,2087-07-21
356,200,356,2076-08-24,2076-09-11
357,299,357,2030-12-17,2031-01-01
358,409,358,2081-12-10,2081-12-16
359,426,359,2068-01-15,2068-02-02
360,290,360,2065-08-29,2065-09-03
361,207,361,2063-04-21,2063-05-03
362,396,362,2080-07-06,2080-07-18
363,320,363,2040-09-24,2040-09-30
364,300,364,2032-04-03,2032-04-07
365,316,365,2066-10-26,2066-11-07
366,406,366,2039-11-17,2039-11-23
367,258,367,2073-07-22,2073-07-23
368,62,368,2073-09-09,2073-09-28
369,394,369,2082-04-04,2082-04-13
370,312,370,2090-09-30,2090-10-01
371,143,371,2082-12-04,2082-12-04
372,329,372,2050-07-20,2050-07-28
373,248,373,2022-08-16,2022-08-21
374,315,374,2094-04-04,2094-04-13
375,265,375,2020-05-10,2020-05-26
376,141,376,2067-11-02,2067-11-09
377,252,377,2069-06-29,2069-07-11
378,294,378,2091-05-01,2091-05-12
379,126,379,2029-03-29,2029-03-29
380,326,380,2058-10-05,2058-10-23
381,264,381,2061-04-13,2061-04-30
382,143,382,2067-06-12,2067-06-27
383,200,383,2066-02-25,2066-03-04
384,207,384,2044-05-23,2044-06-01
385,209,385,2079-11-02,2079-11-10
386,27,386,2086-06-11,2086-06-30
387,144,387,2081-01-12,2081-01-25
388,236,388,2096-05-06,2096-05-17
389,197,389,2070-01-07,2070-01-11
390,76,390,2044-08-24,2044-09-03
391,93,391,2078-06-28,2078-06-29
392,292,392,2071-01-30,2071-02-08
393,111,393,2065-12-10,2065-12-18
394,235,394,2032-05-04,2032-05-13
395,348,395,2069-02-06,2069-02-17
396,101,396,2035-05-28,2035-06-01
397,336,397,2081-07-06,2081-07-15
398,363,398,2068-04-17,2068-04-21
399,401,399,2039-12-10,2039-12-25
400,165,400,2046-06-13,2046-06-23
401,313,401,2059-10-15,2059-10-31
402,434,402,2068-01-12,2068-01-16
403,283,403,2025-05-07,2025-05-12
404,16,404,2071-06-27,2071-06-28
405,385,405,2022-07-17,2022-07-20
406,172,406,2088-05-28,2088-06-13
407,89,407,2084-09-11,2084-09-29
408,223,408,2045-06-01,2045-06-03
409,405,409,2083-04-14,2083-04-15
410,135,410,2025-11-17,2025-12-01
411,24,411,2069-01-11,2069-01-13
412,355,412,2090-06-23,2090-07-07
413,358,413,2098-10-02,2098-10-17
414,163,414,2047-06-05,2047-06-13
415,10,415,2099-05-08,2099-05-23
416,332,416,2093-11-10,2093-11-13
417,187,417,2087-05-30,2087-06-15
418,24,418,2022-03-24,2022-04-08
419,235,419,2025-04-28,2025-05-05
420,274,420,2019-05-02,2019-05-19
421,49,421,2092-04-02,2092-04-06
422,154,422,2094-12-01,2094-12-09
423,141,423,2069-07-07,2069-07-22
424,231,424,2068-12-03,2068-12-07
425,46,425,2086-01-01,2086-01-16
426,391,426,2083-01-22,2083-02-07
427,146,427,2088-12-25,2088-12-28
428,128,428,2049-10-26,2049-11-01
429,56,429,2089-09-08,2089-09-21
430,167,430,2097-10-30,2097-11-01
431,186,431,2064-06-03,2064-06-10
432,337,432,2035-09-12,2035-09-24
433,37,433,2019-11-17,2019-12-01
434,264,434,2067-07-10,2067-07-18
435,9,435,2095-08-08,2095-08-23
436,250,436,2077-07-15,2077-07-22
437,66,437,2062-10-05,2062-10-20
438,9,438,2068-02-04,2068-02-22
439,399,439,2038-01-29,2038-01-30
440,108,440,2038-09-15,2038-09-20
441,308,441,2095-12-26,2096-01-07
442,300,442,2039-04-26,2039-05-04
443,145,443,2094-06-23,2094-06-23
444,337,444,2024-07-25,2024-08-04
445,248,445,2049-11-28,2049-12-04
446,279,446,2031-01-20,2031-02-04
447,417,447,2064-09-27,2064-10-10
448,330,448,2068-07-12,2068-07-28
449,116,449,2051-05-18,2051-06-05
450,446,450,2045-07-16,2045-07-17
451,330,451,2040-07-23,2040-08-11
452,349,452,2065-08-05,2065-08-12
453,252,453,2042-11-30,2042-12-19
454,15,454,2090-05-11,2090-05-14
455,357,455,2041-09-21,2041-10-08
456,4,456,2067-01-07,2067-01-16
457,368,457,2066-12-06,2066-12-08
458,128,458,2033-01-20,2033-02-06
459,246,459,2066-07-04,2066-07-18
460,174,460,2058-04-11,2058-04-30
461,208,461,2069-12-27,2070-01-02
462,348,462,2085-03-07,2085-03-19
463,132,463,2034-11-06,2034-11-24
464,137,464,2020-02-12,2020-02-12
465,96,465,2079-07-03,2079-07-16
466,394,466,2096-04-08,2096-04-09
467,363,467,2019-11-30,2019-12-06
468,235,468,2044-09-16,2044-09-30
469,227,469,2045-07-31,2045-08-18
470,287,470,2024-02-03,2024-02-10
471,33,471,2098-08-21,2098-08-26
472,253,472,2075-01-29,2075-02-01
473,47,473,2022-01-11,2022-01-24
474,68,474,2040-03-06,2040-03-16
475,321,475,2023-12-11,2023-12-22
476,172,476,2072-08-15,2072-08-29
477,113,477,2068-12-24,2068-12-24
478,36,478,2030-07-19,2030-07-29
479,19,479,2065-04-03,2065-04-06
480,261,480,2043-05-02,2043-05-19
481,311,481,2032-05-14,2032-05-17
482,59,482,2085-02-06,2085-02-24
483,312,483,2099-12-02,2099-12-13
484,194,484,2065-07-02,2065-07-05
485,247,485,2093-06-22,2093-07-07
486,196,486,2084-12-22,2085-01-08
487,142,487,2079-07-04,2079-07-05
488,348,488,2061-12-07,2061-12-11
489,95,489,2094-09-15,2094-09-23
490,105,490,2058-02-11,2058-02-27
491,296,491,2088-03-27,2088-04-14
492,305,492,2033-12-04,2033-12-12
493,85,493,2041-11-15,2041-12-04
494,124,494,2041-04-01,2041-04-06
495,308,495,2094-02-03,2094-02-11
496,168,496,2067-10-13,2067-10-19
497,426,497,2066-05-11,2066-05-16
498,347,498,2078-09-29,2078-10-06
499,248,499,2049-10-01,2049-10-14
500,301,500,2047-01-25,2047-02-01
501,302,501,2052-09-02,2052-09-06
502,434,502,2068-01-17,2068-01-17
503,160,503,2074-02-28,2074-03-17
504,443,504,2083-01-29,2083-01-31
505,321,505,2065-08-06,2065-08-21
506,357,506,2068-12-26,2068-12-30
507,318,507,2089-11-21,2089-12-01
508,327,508,2069-08-09,2069-08-28
509,163,509,2021-01-04,2021-01-20
510,383,510,2020-01-12,2020-01-29
511,430,511,2052-03-20,2052-03-31
512,135,512,2040-02-29,2040-03-02
513,69,513,2098-09-14,2098-09-19
514,34,514,2068-12-31,2069-01-09
515,191,515,2055-06-19,2055-06-22
516,271,516,2069-01-22,2069-01-22
517,31,517,2079-10-08,2079-10-25
518,349,518,2033-12-22,2033-12-25
519,391,519,2041-05-18,2041-06-05
520,316,520,2026-09-05,2026-09-23
521,5,521,2050-03-05,2050-03-07
522,302,522,2022-03-04,2022-03-23
523,49,523,2056-10-07,2056-10-16
524,334,524,2059-11-29,2059-11-30
525,309,525,2095-06-04,2095-06-06
526,354,526,2043-02-20,2043-02-25
527,322,527,2028-01-02,2028-01-03
528,114,528,2049-08-14,2049-08-29
529,128,529,2087-02-20,2087-02-21
530,245,530,2079-01-13,2079-01-18
531,133,531,2088-11-30,2088-12-18
532,311,532,2070-11-04,2070-11-20
533,340,533,2087-07-26,2087-08-09
534,19,534,2049-04-10,2049-04-29
535,4,535,2081-04-23,2081-04-25
536,25,536,2061-11-24,2061-12-12
537,55,537,2022-10-10,2022-10-11
538,355,538,2059-09-25,2059-10-02
539,432,539,2048-05-30,2048-06-09
540,232,540,2059-04-23,2059-05-02
541,43,541,2099-09-06,2099-09-10
542,410,542,2088-03-20,2088-04-05
543,157,543,2093-10-22,2093-10-27
544,81,544,2028-01-29,2028-02-01
545,87,545,2069-03-08,2069-03-16
546,107,546,2082-07-03,2082-07-10
547,98,547,2036-01-07,2036-01-21
548,110,548,2034-01-01,2034-01-06
549,200,549,2040-07-20,2040-07-26
550,142,550,2037-08-25,2037-09-02
551,53,551,2034-02-16,2034-03-05
552,13,552,2042-08-24,2042-09-12
553,86,553,2021-04-15,2021-04-29
554,424,554,2022-07-04,2022-07-05
555,352,555,2065-04-16,2065-04-26
556,365,556,2074-05-03,2074-05-22
557,30,557,2030-10-08,2030-10-14
558,200,558,2076-05-17,2076-05-29
559,443,559,2092-04-08,2092-04-12
560,215,560,2067-04-04,2067-04-12
561,287,561,2024-01-30,2024-02-10
562,122,562,2077-04-17,2077-05-04
563,79,563,2048-05-05,2048-05-06
564,211,564,2065-07-23,2065-08-06
565,88,565,2080-01-11,2080-01-22
566,354,566,2060-11-02,2060-11-04
567,414,567,2090-05-07,2090-05-17
568,277,568,2070-01-22,2070-01-30
569,342,569,2097-04-20,2097-05-01
570,378,570,2030-06-05,2030-06-10
571,103,571,2092-12-27,2093-01-05
572,94,572,2036-03-22,2036-04-01
573,7,573,2084-07-20,2084-07-29
574,137,574,2044-11-21,2044-12-09
575,91,575,2029-06-21,2029-07-04
576,108,576,2055-10-17,2055-10-18
577,283,577,2048-04-26,2048-05-11
578,227,578,2050-09-19,2050-10-03
579,101,579,2028-11-14,2028-12-02
580,64,580,2020-12-14,2021-01-01
581,7,581,2052-04-15,2052-04-25
582,298,582,2070-09-19,2070-09-29
583,366,583,2082-07-25,2082-08-05
584,152,584,2047-11-27,2047-12-08
585,279,585,2036-07-24,2036-07-28
586,307,586,2054-04-24,2054-05-11
587,341,587,2065-04-23,2065-04-29
588,136,588,2075-12-20,2075-12-28
589,165,589,2077-08-17,2077-08-28
590,224,590,2065-04-21,2065-04-21
591,84,591,2082-12-28,2083-01-08
592,38,592,2036-03-30,2036-04-09
593,179,593,2038-05-22,2038-05-25
594,136,594,2022-12-07,2022-12-11
595,134,595,2042-03-04,2042-03-17
596,262,596,2037-06-01,2037-06-17
597,310,597,2058-03-24,2058-04-05
598,368,598,2038-01-17,2038-01-22
599,316,599,2085-08-07,2085-08-16
600,319,600,2073-09-03,2073-09-20
601,131,601,2059-02-23,2059-03-04
602,383,602,2031-04-28,2031-05-13
603,95,603,2070-06-18,2070-06-24
604,164,604,2092-01-16,2092-01-21
605,120,605,2080-12-18,2080-12-29
606,152,606,2063-08-19,2063-08-30
607,137,607,2045-09-13,2045-09-24
608,358,608,2024-08-14,2024-08-26
609,218,609,2023-03-18,2023-04-04
610,389,610,2093-12-24,2093-12-24
611,424,611,2059-12-28,2060-01-08
612,122,612,2038-06-29,2038-07-17
613,308,613,2061-04-23,2061-04-30
614,370,614,2097-11-19,2097-11-20
615,215,615,2057-04-23,2057-04-23
616,304,616,2087-08-22,2087-09-03
617,9,617,2036-09-17,2036-09-17
618,444,618,2073-03-10,2073-03-28
619,188,619,2086-02-12,2086-02-18
620,141,620,2071-10-29,2071-11-13
621,23,621,2021-09-19,2021-10-05
622,371,622,2056-08-25,2056-09-02
623,362,623,2099-06-10,2099-06-29
624,240,624,2086-03-11,2086-03-26
625,200,625,2035-10-24,2035-10-28
626,183,626,2043-08-12,2043-08-19
627,251,627,2058-05-17,2058-05-28
628,158,628,2053-11-24,2053-11-27
629,6,629,2064-09-07,2064-09-22
630,252,630,2039-12-23,2039-12-23
631,433,631,2056-12-18,2056-12-23
632,378,632,2059-05-25,2059-06-12
633,406,633,2024-07-19,2024-07-21
634,79,634,2059-06-10,2059-06-11
635,257,635,2056-01-12,2056-01-27
636,179,636,2035-07-31,2035-07-31
637,134,637,2069-07-16,2069-08-04
638,305,638,2036-04-15,2036-04-24
639,273,639,2054-08-04,2054-08-08
640,401,640,2025-12-14,2025-12-19
641,163,641,2090-02-16,2090-02-25
642,252,642,2027-09-03,2027-09-21
643,70,643,2051-10-02,2051-10-09
644,198,644,2093-12-10,2093-12-14
645,166,645,2067-12-26,2068-01-03
646,377,646,2073-06-29,2073-07-04
647,73,647,2081-08-09,2081-08-09
648,425,648,2098-02-18,2098-02-23
649,397,649,2023-07-05,2023-07-15
650,79,650,2096-08-15,2096-09-03
651,13,651,2036-11-23,2036-12-11
652,126,652,2060-06-05,2060-06-09
653,320,653,2037-02-19,2037-02-20
654,281,654,2069-06-15,2069-06-24
655,313,655,2090-05-27,2090-06-02
656,265,656,2060-05-29,2060-06-07
657,275,657,2091-02-15,2091-02-16
658,321,658,2059-02-12,2059-02-15
659,194,659,2073-11-21,2073-11-24
660,144,660,2093-03-05,2093-03-07
661,337,661,2052-09-06,2052-09-25
662,186,662,2084-09-16,2084-10-03
663,293,663,2080-03-17,2080-03-24
664,168,664,2072-11-29,2072-12-07
665,72,665,2026-04-29,2026-05-14
666,79,666,2054-02-07,2054-02-13
667,88,667,2083-11-15,2083-11-21
668,8,668,2021-09-02,2021-09-14
669,82,669,2076-09-23,2076-10-04
670,368,670,2037-07-28,2037-07-28
671,144,671,2051-06-30,2051-07-14
672,178,672,2023-06-17,2023-06-27
673,118,673,2028-03-30,2028-04-11
674,379,674,2021-09-08,2021-09-23
675,269,675,2086-02-20,2086-03-10
676,145,676,2095-09-16,2095-09-30
677,347,677,2061-02-03,2061-02-20
678,354,678,2076-01-18,2076-02-04
679,325,679,2065-01-02,2065-01-09
680,52,680,2096-01-01,2096-01-02
681,127,681,2080-06-20,2080-06-23
682,120,682,2092-06-27,2092-07-11
683,237,683,2057-01-02,2057-01-14
684,242,684,2047-12-16,2047-12-29
685,316,685,2045-08-08,2045-08-19
686,87,686,2090-05-01,2090-05-19
687,18,687,2046-12-23,2047-01-11
688,17,688,2058-11-25,2058-12-04
689,431,689,2068-11-06,2068-11-06
690,410,690,2098-11-14,2098-11-15
691,343,691,2088-07-11,2088-07-11
692,123,692,2053-09-28,2053-10-10
693,132,693,2035-02-10,2035-03-01
694,284,694,2062-12-19,2062-12-29
695,352,695,2043-10-08,2043-10-11
696,375,696,2045-02-20,2045-03-05
