restid,nombre_restaurant,direccion,telefono,descripcion_restaurant,rid,pid,nombre_plato,descripcion,precio
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,35,Guisantes a la menta,Laborum delectus quae similique qui eveniet. Ut ab amet ipsam quis facilis dolor.,21155.44
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,36,Ensalada de alubias,Et placeat quo. Odit voluptas provident similique quo iure eveniet. Aliquam blanditiis architecto accusantium.,8032.74
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,37,Macarrones con calabacin,Facilis placeat omnis debitis modi. Consectetur itaque earum.,23777.93
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,38,Mafaldine a la livornese,Quo officiis architecto illo possimus nesciunt. Doloribus tempora vitae fugit culpa nulla veritatis autem. Dolorum dignissimos sequi eos harum animi facere.,11013.57
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,39,Ensalada cariñosa,Ullam distinctio accusamus quaerat recusandae sit. Nihil distinctio dolores vitae.,6427.7
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,40,Ensalada de calabacín y pollo,Temporibus esse rem nemo provident temporibus culpa. Necessitatibus sed inventore cum velit voluptate molestias.,17675.88
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,41,Revuelto de ajetes y gambas,Recusandae unde deleniti omnis. Iusto soluta fugit dolorum quia.,23924.18
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,42,Pollo asado,Cum sed animi placeat. Fugiat voluptatem iste quasi.,21167.01
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,43,Marmitako,Praesentium rerum ex accusantium numquam corporis ducimus tenetur. Iusto assumenda veniam illo commodi animi facilis.,19762.78
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,44,Esqueixada,Natus nemo unde voluptatibus. Totam aliquam ex voluptatibus nam iusto distinctio. Voluptatibus accusamus perspiciatis similique iure tenetur.,19120.61
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,45,Brochetas de solomillo.,Eligendi sapiente non aliquam temporibus hic. Quod deleniti quidem.,3934.13
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,46,Fettuccini con espárragos y jamón,Voluptatum esse dolore ut tenetur adipisci laborum. Ratione quis voluptas omnis et eum.,18117.83
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,47,Ensalada de Valencia,Sit modi error recusandae provident rerum corrupti. Consequatur error ratione harum cum in.,13614.59
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,48,Ensalada de verduras a la plancha con escarola,Incidunt impedit quasi totam nemo maxime delectus. Ratione et nobis at porro assumenda. Sit sed alias cum accusantium.,24383.58
4,Cano-Cuellar y Asociados,Boulevard República Dominicana 049 650,+56901995566,Reprehenderit facilis tempora ipsam eveniet exercitationem consectetur. Sit incidunt eligendi natus eligendi iure quos.,0,49,Empedrat,Nulla saepe delectus reiciendis asperiores asperiores occaecati. Quibusdam quaerat id minus odit asperiores ut. Quod quisquam nobis ea vel aut eaque. Esse totam esse.,23455.73
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,50,Cuscús al estilo griego,Quis aut impedit ad deleniti quo. Occaecati vero quo iusto molestias fugit. Quaerat beatae facilis debitis atque architecto quis.,4959.96
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,51,Bonito a la vasca,Labore placeat eligendi laudantium omnis. Nobis suscipit ipsum consectetur. Sint beatae alias totam pariatur nihil neque.,21762.46
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,52,Ensalada de verduras a la plancha con escarola,Explicabo sit in mollitia enim perferendis ipsum minima. Ea in nam non modi tenetur animi quis. Veniam qui excepturi.,23702.43
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,53,Solomillo al hojaldre,Sint magnam minus aliquid. Quam ipsum assumenda amet commodi quam in. Rerum animi magnam doloribus.,10924.31
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,54,Atún a la plancha,In repellat ratione maiores nesciunt nesciunt distinctio. Quaerat earum excepturi sit aperiam asperiores tenetur iusto.,2915.1
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,55,Merluza Vitoria,Facere vel aliquid architecto illo ratione quidem. Consequatur magni aut soluta amet cum consequuntur. Facere sunt adipisci excepturi inventore ipsum impedit beatae. Consectetur laborum eaque odit perspiciatis excepturi nemo.,18113.87
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,56,Ensalada de naranja y jamón de pato,Dolores in modi quaerat. Sed consequatur expedita impedit. Dicta iure reprehenderit neque. Minus labore iusto.,14879.74
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,57,Spaguetti con salmón,Neque eaque ut suscipit minus nisi.,20755.69
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,58,Merluza a la plancha,Asperiores veniam animi sunt eligendi dolorem magni. Temporibus sed molestiae error provident aspernatur.,4206.49
5,Laboratorios Godoy-Borrego,Cerrada Coahuila de Zaragoza 155 Interior 616,+56921245098,Quia rerum dolore doloribus odio corrupti commodi.,1,59,Ensalada de arroz salvaje,Dolores iste architecto magni accusamus. Velit praesentium debitis molestiae. Aut quod inventore minus officia debitis.,4074.99
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,60,Caballa al horno,Necessitatibus tempore iure error consequatur exercitationem totam nesciunt. Adipisci et quas possimus ipsum odio consectetur. Quas quos beatae sed.,6570.72
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,61,Filetes pollo a la plancha,Qui iusto eveniet sed dignissimos. Neque laboriosam expedita suscipit ab voluptate ipsam.,18420.2
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,62,"Ensalada de rúcula, queso y frutos secos",Quidem ad occaecati possimus tempora voluptas. A sequi exercitationem qui error voluptatibus tempore.,16705.94
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,63,Arroz integral con verduras al curry,Voluptatum voluptas earum alias. Laborum sit deleniti aut. Maiores consequatur neque nisi facere.,24024.66
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,64,Albóndigas con menta y sésamo,Exercitationem atque tempora dicta. Molestias magnam repudiandae repellendus impedit deleniti.,22339.49
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,65,Brócoli con jamón y bacon,Illo ipsum impedit corrupti. Totam molestiae delectus esse aliquid consequatur.,2077.64
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,66,Arroz con arrosillo,Officia maiores expedita dolores provident. Nesciunt praesentium rerum autem.,10967.49
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,67,Ensalada campera,Laboriosam doloremque sed ex neque ratione natus fugit.,9433.89
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,68,"Pasta con alcachofas, tomate y aceitunas negras",Beatae accusantium dolorem sapiente esse ad. Incidunt distinctio temporibus suscipit. Culpa rerum hic architecto temporibus cupiditate tenetur repellendus.,21993.58
6,"Despacho Otero, Corral y Frías",Cerrada Márquez 053 341,+56998200103,Quaerat amet soluta reprehenderit facilis eius. Veritatis harum molestias quasi. Quod perspiciatis voluptates doloremque.,1,69,"Ensalada de naranja, rúcula y bacalao ahumado con aceite de mango y mostaza",Voluptas commodi nemo dignissimos. Inventore expedita perspiciatis voluptates facilis dolores tempore inventore.,14163.29
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,70,"Risotto de champiñón, jamón y rúcola con puerro confitado",Autem quis aspernatur fugit et nobis enim. Ipsa illum voluptatum inventore neque fuga. Quasi dignissimos corrupti.,22635.58
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,71,Ensalada de calabacín y salmón marinado,Possimus corrupti alias repudiandae nostrum id voluptatem. Eaque totam ratione. Doloremque perferendis eligendi excepturi nisi expedita saepe velit.,11057.52
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,72,Ensalada de arroz basmati,Voluptates dicta beatae inventore. Assumenda nostrum ducimus quae.,13549.77
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,73,Ensalada de pollo,Accusantium dolorem natus voluptatum vero quis minus voluptates. Praesentium recusandae esse cupiditate pariatur sunt.,5434.49
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,74,Solomillo al jerez,Consectetur eius suscipit rerum sed. Eveniet dolores eum nobis. Rem magni mollitia.,18942.19
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,75,Tortilla de calabacín,Laudantium tempora natus corrupti natus. Ratione quo voluptatibus pariatur autem neque debitis.,23245.27
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,76,Fideos con calabacines,Hic recusandae voluptatibus nihil iure corporis molestiae. Adipisci dolor praesentium.,23227.67
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,77,Requetés,Hic nihil eaque et. Officiis optio alias sed voluptates. Odit commodi officia optio. Consequuntur beatae ipsam.,5663.39
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,78,Solomillo al oporto,Consequuntur nemo voluptate vel corporis aperiam. Soluta quisquam molestiae adipisci numquam repudiandae.,17300.3
7,Industrias Carrera-del Río,Corredor Samoa 449 519,+56996804657,Velit dolorum sequi amet illum odit possimus. Dolore sed quia modi temporibus voluptate debitis. Corporis animi suscipit distinctio in.,1,79,Fideos con calabacines,Accusantium quos asperiores pariatur nobis. Ducimus repellat explicabo placeat consequuntur dolores. Vitae exercitationem vitae minus consequatur quas iusto numquam.,8983.81
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,80,Taboulé,Nulla quaerat aliquid. Et placeat cupiditate quia.,16890.47
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,81,Ensalada de garbanzos a la naranja,Natus qui iste doloremque error assumenda itaque.,8731.81
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,82,Macarrones con berenjenas,Doloremque dolor praesentium placeat quas dolorum. Aperiam eligendi explicabo ex earum.,3363.34
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,83,Salteado de garbanzos con pollo y verduras,Ratione animi ab quis deserunt reiciendis sint. In ducimus et dolor. Autem quae nemo quam consequatur magnam perspiciatis.,19203.53
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,84,Macarrones con calabacin,Reprehenderit dignissimos beatae non autem. Ipsam reprehenderit vitae suscipit eaque cum assumenda. Iure labore doloribus sit quaerat quaerat.,7960.59
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,85,Mafaldine a la livornese,Necessitatibus accusamus consequatur incidunt temporibus et dignissimos vitae. Eius ullam expedita. Iusto officiis sit amet possimus labore.,2932.63
8,"Proyectos Hidalgo, Menéndez y Adame",Calle República Unida de Tanzanía 303 723,+56930549589,Deserunt dolore accusamus cumque dolores nesciunt. Quo eaque iusto dicta commodi nam molestias. A mollitia repellat.,1,86,Solomillo al jerez,Iure ad laboriosam eaque culpa deleniti repellendus. In blanditiis veritatis quia itaque iure perspiciatis. Rem eos saepe unde facilis.,7088.59
